start_date,end_date,number,opinion,percent
1961-02-10,1961-02-15,35,approve,72
1969-01-01,1969-01-06,36,approve,49
1968-12-05,1968-12-10,36,approve,44
1968-11-09,1968-11-14,36,approve,43
1968-09-26,1968-10-01,36,approve,41
1968-08-07,1968-08-12,36,approve,34
1968-07-16,1968-07-16,36,approve,39
1968-06-26,1968-07-01,36,approve,39
1968-06-13,1968-06-18,36,approve,42
1968-05-23,1968-05-28,36,approve,40
1968-05-02,1968-05-07,36,approve,46
1968-04-04,1968-04-09,36,approve,50
1968-02-22,1968-02-27,36,approve,41
1968-02-02,1968-02-06,36,approve,40
1968-01-04,1968-01-09,36,approve,48
1967-12-07,1967-12-12,36,approve,44
1967-11-16,1967-11-21,36,approve,41
1967-10-27,1967-11-01,36,approve,40
1967-10-06,1967-10-11,36,approve,37
1967-09-14,1967-09-19,36,approve,37
1967-08-24,1967-08-29,36,approve,38
1967-08-03,1967-08-08,36,approve,39
1967-07-13,1967-07-18,36,approve,46
1967-06-22,1967-06-27,36,approve,50
1967-06-02,1967-06-07,36,approve,43
1967-05-11,1967-05-16,36,approve,41
1967-04-19,1967-04-24,36,approve,48
1967-03-30,1967-04-04,36,approve,45
1967-03-09,1967-03-14,36,approve,44
1967-02-16,1967-02-21,36,approve,44
1967-01-26,1967-01-31,36,approve,45
1967-01-07,1967-01-12,36,approve,46
1966-12-08,1966-12-13,36,approve,43
1966-11-10,1966-11-15,36,approve,48
1966-10-21,1966-10-26,36,approve,44
1966-09-30,1966-10-06,36,approve,44
1966-08-18,1966-08-23,36,approve,46
1966-07-29,1966-08-03,36,approve,51
1966-07-08,1966-07-13,36,approve,55
1966-06-16,1966-06-21,36,approve,48
1966-05-19,1966-05-24,36,approve,50
1966-05-05,1966-05-10,36,approve,46
1966-04-14,1966-04-19,36,approve,53
1966-03-01,1966-03-30,36,approve,57
1966-03-22,1966-03-22,36,approve,56
1966-02-10,1966-02-15,36,approve,55
1966-01-21,1966-01-26,36,approve,61
1965-12-31,1966-01-05,36,approve,59
1965-12-11,1965-12-16,36,approve,63
1965-11-16,1965-11-16,36,approve,62
1965-10-29,1965-11-02,36,approve,64
1965-10-08,1965-10-13,36,approve,65
1965-09-16,1965-09-21,36,approve,63
1965-08-27,1965-09-01,36,approve,63
1965-08-05,1965-08-10,36,approve,65
1965-07-16,1965-07-21,36,approve,65
1965-06-24,1965-06-29,36,approve,65
1965-06-04,1965-06-09,36,approve,68
1965-05-13,1965-05-18,36,approve,70
1965-04-23,1965-04-28,36,approve,63
1965-04-02,1965-04-07,36,approve,66
1965-03-16,1965-03-16,36,approve,69
1965-02-19,1965-02-24,36,approve,68
1965-01-28,1965-02-02,36,approve,70
1965-01-07,1965-01-12,36,approve,70
1964-11-20,1964-11-25,36,approve,68
1964-06-25,1964-06-30,36,approve,73
1964-06-11,1964-06-16,36,approve,74
1964-06-02,1964-06-02,36,approve,73
1964-05-20,1964-05-20,36,approve,73
1964-05-04,1964-05-04,36,approve,75
1964-04-24,1964-04-29,36,approve,74
1964-03-27,1964-04-02,36,approve,75
1964-03-13,1964-03-17,36,approve,77
1964-02-28,1964-03-05,36,approve,79
1964-02-11,1964-02-11,36,approve,73
1964-01-30,1964-02-05,36,approve,75
1964-01-02,1964-01-07,36,approve,76
1963-12-12,1963-12-17,36,approve,73
1963-12-05,1963-12-10,36,approve,77
1974-08-02,1974-08-05,37,approve,24
1974-07-09,1974-07-09,37,approve,23
1974-06-25,1974-06-25,37,approve,27
1974-06-18,1974-06-18,37,approve,25
1974-05-28,1974-05-28,37,approve,27
1974-05-17,1974-05-20,37,approve,26
1974-05-07,1974-05-07,37,approve,24
1974-04-30,1974-04-30,37,approve,25
1974-04-01,1974-04-30,37,approve,26
1974-04-09,1974-04-09,37,approve,25
1974-03-26,1974-03-26,37,approve,25
1974-03-12,1974-03-12,37,approve,26
1974-02-12,1974-02-12,37,approve,25
1974-02-12,1974-02-12,37,approve,26
1974-01-29,1974-01-29,37,approve,28
1974-01-15,1974-01-15,37,approve,26
1974-01-02,1974-01-02,37,approve,22
1973-12-04,1973-12-04,37,approve,28
1973-11-27,1973-11-27,37,approve,30
1973-10-30,1973-10-30,37,approve,26
1973-10-16,1973-10-16,37,approve,27
1973-10-02,1973-10-02,37,approve,29
1973-09-18,1973-09-18,37,approve,32
1973-09-04,1973-09-04,37,approve,33
1973-08-14,1973-08-14,37,approve,36
1973-07-03,1973-07-03,37,approve,39
1973-05-29,1973-05-29,37,approve,42
1973-05-08,1973-05-08,37,approve,44
1973-05-01,1973-05-01,37,approve,44
1973-05-01,1973-05-01,37,approve,44
1973-04-24,1973-04-24,37,approve,47
